,Unnamed: 0,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
285,330,-1,-1,-1,-1,-1,3.5,6.0,50.879311,4.7009300000000005,,,,,0,-1,-1,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,,,,0.0,0.666666666666667,0.166666666666667,0.0,0.166666666666667,0.0,0.166666666666667,0.0,0.0,0.5,0.166666666666667,0.166666666666667,0.33333333333333304,0.33333333333333304
286,320,-1,-1,-1,-1,-1,4.5,3.0,50.884151,4.72281,,,,,0,-1,-1,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,0.33333333333333304,0.666666666666667,0.0,0.0,0.0,0.33333333333333304,0.0,0.666666666666667,0.0,0.0,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0
287,311,-1,-1,-1,-1,-1,4.0,5.0,50.88361,4.71995,,,,,0,-1,-1,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,,,,0.0,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.4,0.4,0.2
288,121,-1,-1,-1,-1,-1,4.0,38.0,50.872959,4.6963099999999995,4.0,4.5,4.0,,1,-1,-1,12.0,5.0,4.0,1.0,12.0,15.0,12.0,5.0,6.0,20.0,8.0,9.0,1.0,0.0,,,,0.526315789473684,0.21052631578947398,0.23684210526315802,0.0263157894736842,0.0,0.315789473684211,0.131578947368421,0.10526315789473699,0.0263157894736842,0.315789473684211,0.39473684210526294,0.315789473684211,0.131578947368421,0.157894736842105
289,212,-1,-1,-1,-1,-1,3.5,42.0,50.877171000000004,4.70435,3.5,3.5,3.5,3.0,0,-1,-1,5.0,16.0,7.0,1.0,12.0,11.0,8.0,12.0,11.0,10.0,18.0,6.0,6.0,2.0,,,,0.23809523809523803,0.42857142857142894,0.14285714285714302,0.14285714285714302,0.0476190476190476,0.11904761904761901,0.38095238095238104,0.166666666666667,0.0238095238095238,0.28571428571428603,0.261904761904762,0.19047619047619,0.28571428571428603,0.261904761904762
290,238,-1,-1,-1,-1,-1,3.5,42.0,50.872524,4.7199919999999995,4.0,3.5,3.5,4.0,0,-1,-1,15.0,10.0,4.0,2.0,7.0,12.0,11.0,6.0,13.0,11.0,17.0,5.0,4.0,5.0,,,,0.261904761904762,0.404761904761905,0.11904761904761901,0.0952380952380952,0.11904761904761901,0.3571428571428571,0.23809523809523803,0.0952380952380952,0.0476190476190476,0.166666666666667,0.28571428571428603,0.261904761904762,0.14285714285714302,0.30952380952381
291,158,-1,-1,-1,-1,-1,3.5,162.0,50.881190999999994,4.706247,3.5,3.5,3.5,3.0,0,-1,-1,39.0,31.0,1.0,11.0,56.0,44.0,28.0,48.0,42.0,32.0,66.0,33.0,16.0,15.0,,,,0.19753086419753102,0.407407407407407,0.203703703703704,0.0987654320987654,0.0925925925925926,0.24074074074074103,0.191358024691358,0.00617283950617284,0.0679012345679012,0.34567901234567894,0.271604938271605,0.172839506172839,0.296296296296296,0.25925925925925897
292,141,-1,-1,-1,-1,-1,4.0,40.0,50.871349,4.70277,4.5,4.0,4.5,,0,-1,-1,5.0,5.0,3.0,2.0,21.0,10.0,8.0,12.0,10.0,18.0,15.0,4.0,2.0,1.0,,,,0.45,0.375,0.1,0.05,0.025,0.125,0.125,0.075,0.05,0.525,0.25,0.2,0.3,0.25
293,367,-1,-1,-1,-1,-1,2.5,2.0,50.878840999999994,4.70316,,,,,0,-1,-1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0
294,30,-1,-1,-1,-1,-1,4.5,91.0,50.875793,4.70036,5.0,4.5,4.5,,1,-1,-1,15.0,34.0,2.0,7.0,30.0,25.0,24.0,21.0,21.0,72.0,13.0,2.0,4.0,0.0,,,,0.7912087912087908,0.14285714285714302,0.021978021978022,0.043956043956044,0.0,0.164835164835165,0.3736263736263739,0.021978021978022,0.0769230769230769,0.32967032967033,0.274725274725275,0.26373626373626397,0.23076923076923103,0.23076923076923103
