Column,name,link,rating,rating_num,ranking,latitude,longitude,stars,excellence_cert,address,price_range,stars_alt,rooms,evaluation,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb_old,languages,price_range_low,price_range_up,avg_price,stars_alt_new,excellent,very_good,good,bad,very_bad,dec_feb,italian,first_foreign_new,second_foreign_new,NA,NA2,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p,region
40,B&B Het Leuvens Hof,/Hotel_Review-g188669-d3259297-Reviews-B_B_Het_Leuvens_Hof-Leuven_Flemish_Brabant_Province.html,5,5,N. 14 di 26 Bed & Breakfast a Leuven,"50,871288","4,69813",NA,0,Schapenstraat 103,NA,NA,NA,5,0,1,0,1,0,1,0,1,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,"0,2",0,0,0,"0,2",0,"0,2",0,"0,2",0,"0,2",0,Leuven
53,Guesthouse Begijnhof,/Hotel_Review-g188669-d2569094-Reviews-Guesthouse_Begijnhof-Leuven_Flemish_Brabant_Province.html,5,59,N. 2 di 26 Bed & Breakfast a Leuven,"50,871639","4,698",NA,Vedi tutte le foto (24)24,Schapenstraat 97,NA,NA,NA,4.9,2,16,6,10,7,16,8,9,Eccellente8Molto buono1Nella media0Scarso0Pessimo0,Italiano (12),Inglese (13),Olandese (2),NA,NA,NA,NA,15,1,0,0,0,9,NA,NA,NA,NA,NA,"0,254237288135593","0,0169491525423729",0,"0,0338983050847458","0,271186440677966","0,101694915254237","0,169491525423729","0,11864406779661","0,271186440677966","0,135593220338983","0,152542372881356",0,Leuven
51,Martin's Place,/Hotel_Review-g188669-d3168391-Reviews-Martin_s_Place-Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,881851","4,70497",NA,0,Sint-Maartenstraat 27,NA,NA,NA,4.9,2,16,6,10,7,16,8,9,Eccellente8Molto buono1Nella media0Scarso0Pessimo0,Italiano (12),Inglese (13),Olandese (2),NA,NA,NA,NA,15,1,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
29,Lavan,/Hotel_Review-g188669-d1595020-Reviews-Lavan-Leuven_Flemish_Brabant_Province.html,"4,5",27,N. 7 di 26 Bed & Breakfast a Leuven,"50,868591","4,6777",NA,Vedi tutte le foto (13)13,Celestijnenlaan 62,NA,NA,NA,5,0,3,1,3,1,12,3,6,Eccellente4Molto buono1Nella media0Scarso0Pessimo0,Italiano (3),Inglese (3),Tutte le lingue,NA,NA,NA,NA,3,0,0,0,0,5,NA,NA,NA,NA,NA,"0,111111111111111",0,0,0,"0,111111111111111","0,037037037037037","0,111111111111111","0,037037037037037","0,444444444444444","0,111111111111111","0,222222222222222",0,Leuven
23,Hotel Ladeuze,/Hotel_Review-g188669-d11984895-Reviews-Hotel_Ladeuze-Leuven_Flemish_Brabant_Province.html,3,17,N. 11 di 19 altri alloggi a Leuven,"50,878551","4,70877",NA,Vedi tutte le foto (3)3,Bogaardenstraat 27,NA,NA,NA,2.7,1,6,1,4,1,3,1,3,Eccellente0Molto buono0Nella media1Scarso0Pessimo0,Italiano (2),Olandese (4),Inglese (2),NA,NA,NA,NA,0,2,2,0,2,1,NA,NA,NA,NA,NA,0,"0,117647058823529","0,117647058823529","0,0588235294117647","0,352941176470588","0,0588235294117647","0,235294117647059","0,0588235294117647","0,176470588235294","0,0588235294117647","0,176470588235294",0,Leuven
46,B&B Leuvensend,/Hotel_Review-g188669-d3320211-Reviews-B_B_Leuvensend-Leuven_Flemish_Brabant_Province.html,4,1,N. 23 di 26 Bed & Breakfast a Leuven,"50,906311","4,69996",NA,0,Bornestraat 72,NA,NA,NA,NaN,0,0,0,0,0,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Leuven
49,B&B De Waterlelies,/Hotel_Review-g188669-d3168376-Reviews-B_B_De_Waterlelies-Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,87262","4,69186",NA,0,Redingenstraat 114,NA,NA,NA,NaN,0,0,0,0,0,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
20,Condo Gardens Leuven,/Hotel_Review-g188669-d624853-Reviews-Condo_Gardens_Leuven-Leuven_Flemish_Brabant_Province.html,"3,5",139,N. 4 di 19 altri alloggi a Leuven,"50,873096","4,712372",NA,0,Dekenstraat 87,NA,NA,NA,3.2,4,29,12,14,15,42,21,26,Eccellente2Molto buono6Nella media4Scarso1Pessimo2,Italiano (16),Inglese (14),Olandese (10),NA,NA,NA,NA,4,5,1,2,4,15,NA,NA,NA,NA,NA,"0,0287769784172662","0,0359712230215827","0,00719424460431655","0,0287769784172662","0,20863309352518","0,0863309352517986","0,100719424460432","0,107913669064748","0,302158273381295","0,151079136690647","0,18705035971223","0,0143884892086331",Leuven
57,B&B Sint Jacob,/Hotel_Review-g188669-d3139944-Reviews-B_B_Sint_Jacob-Leuven_Flemish_Brabant_Province.html,4,17,N. 15 di 26 Bed & Breakfast a Leuven,"50,880878","4,69071",NA,Vedi tutte le foto (11)11,Brusselsestraat 125,NA,NA,NA,4.6,1,5,2,1,1,2,0,2,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,Italiano (2),Olandese (3),Inglese (2),NA,NA,NA,NA,3,2,0,0,0,0,NA,NA,NA,NA,NA,"0,176470588235294","0,117647058823529",0,"0,0588235294117647","0,294117647058824","0,117647058823529","0,0588235294117647","0,0588235294117647","0,117647058823529",0,"0,117647058823529",0,Leuven
61,Huize Rafael,/Hotel_Review-g188669-d1866879-Reviews-Huize_Rafael-Leuven_Flemish_Brabant_Province.html,3,14,N. 24 di 26 Bed & Breakfast a Leuven,"50,880791","4,69308",NA,Vedi tutte le foto (6)6,Brusselsestraat 146,NA,NA,NA,3.5,0,2,1,2,1,3,1,2,Eccellente0Molto buono0Nella media2Scarso0Pessimo0,Italiano (2),Inglese (2),Tutte le lingue,NA,NA,NA,NA,0,1,1,0,0,2,NA,NA,NA,NA,NA,0,"0,0714285714285714","0,0714285714285714",0,"0,142857142857143","0,0714285714285714","0,142857142857143","0,0714285714285714","0,214285714285714","0,0714285714285714","0,142857142857143",0,Leuven
